author1_last_name,author1_first_name,author2_last_name,author2_first_name,editor1_last_name,editor1_first_name,title,original_date_of_publication,second_or_later_date_of_publication,volume,publisher,publisher_location,number_of_pages,dictation,name_of_transcriber,translation,name_of_translator,summary,occupations,date_of_birth,date_of_death,place_of_birth,other_places_lived
N/A,N/A,N/A,N/A,N/A,N/A,"American autobiography,",1945,1980,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Briscoe,Mary Louise,Tobias,Barbara,N/A,N/A,American Autobiography 1945-1980,1982,N/A,N/A,The University of Wisconsin Press,"Madison, Wisconsin",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aaron,Henry,Bisher,Furman,N/A,N/A,As told to Furman Bisher. Illustrated. Revised edition.,1934,1974,N/A,Thomas Y. Crowell Co.,New York,236 p.,YES,N/A,N/A,N/A,"In a low-key, conversational style, the author tells how he went from shortstop in one of the great Black barnstorming baseball teams to a major league hitter pushing Babe Ruth's career home run record.",Baseball player,N/A,N/A,N/A,N/A
Aaronson,Sammy,Hirshberg,Al,N/A,N/A,As high as my heart: the Sammy Aaronson story.,1905,1957,N/A,"Coward-McCann, Inc.",New York,188 p.,N/A,N/A,N/A,N/A,"The story of his fight against juvenile delinquency in New York's East Side and Brooklyn, where he set up gymnasiums and sports activities for boys.",N/A,N/A,N/A,N/A,N/A
Abbey,Edward,N/A,N/A,N/A,N/A,The journey home: some words in defense of the American West.,1927,1977,N/A,E.P. Dutton,New York,242 p.,N/A,N/A,N/A,N/A,"Author and conservationist Abbey describes his discovery of the West, his passion for the land, and his efforts to preserve it from destruction by machines, land developers, and excessive population.","Author, conservationist",N/A,N/A,N/A,N/A
Abbot,Charles Greeley,N/A,N/A,N/A,N/A,Adventures in the world of science.,N/A,1958,N/A,Public Affairs Press,"Washington, D.C.",150 p.,N/A,N/A,N/A,N/A,An interesting record of his sixty years among international research scientists by a physicist who pioneered in solar energy and became affiliated with the Smithsonian in 1898.,Physicist,1872,1973,N/A,N/A
Abbot,Willis J.,N/A,N/A,N/A,N/A,Watching the world go by.,1933,1974,N/A,"Beekman Publishers, Inc.",New York,358 p.,N/A,N/A,N/A,N/A,"Abbot tells of his lifelong career in newspaper journalism, finding fascination in politics.",Journalist,1863,1934,N/A,"New Orleans, Kansas City, Chicago, New York, Boston"
Abbott,George,N/A,N/A,N/A,N/A,Mister Abbott.,N/A,1963,N/A,Random House,New York,279 p.,N/A,N/A,N/A,N/A,"A successful showman writes about Broadway, his memories of friends and enemies among celebrities.",Showman,1887,N/A,N/A,N/A
Abeel,David,Williamson,G.R.,N/A,N/A,"Memoir of the Rev. David Abeel, D.D.: late missionary to China.",1848,1972,N/A,"Scholarly Resources, Inc.","Wilmington, Delaware",315 p.,N/A,N/A,N/A,N/A,"The life of a Dutch Reformed missionary is described through his journals and letters, revealing his dedication to spreading the gospel.",Missionary,1804,1846,N/A,"Greece, England, Europe, Far East, China"
Abel,Alan,N/A,N/A,N/A,N/A,The confessions of a hoaxer.,1924,1970,N/A,The Macmillan Co.,New York,252 p.,N/A,N/A,N/A,N/A,A professional prankster describes his best hoaxes and the motivations behind his pranks.,Prankster,N/A,N/A,N/A,N/A
Abington,E.H.,N/A,N/A,N/A,N/A,Back roads and bicarbonate: the autobiography of an Arkansas country doctor.,N/A,1955,N/A,Vantage Press,New York,166 p.,N/A,N/A,N/A,N/A,Recollections of his life as a country doctor and pharmacist in rural Arkansas and Oklahoma.,"Doctor, pharmacist",b. 1873,N/A,N/A,N/A
Abraham,Abie,N/A,N/A,N/A,N/A,Ghost of Bataan speaks.,1913,1971,N/A,Vantage Press,New York,244 p.,N/A,N/A,N/A,N/A,An American soldier recounts the events surrounding the fall of Bataan and the experiences of the troops.,Soldier,N/A,N/A,N/A,N/A
Abrecht,Mary Ellen,Stem,Barbara Lang,N/A,N/A,The making of a woman cop.,N/A,1976,N/A,William Morrow and Co.,New York,275 p.,N/A,N/A,N/A,N/A,Policewoman describes her development on the police force and her efforts against sexism.,Police officer,N/A,N/A,N/A,"Washington, D.C."
Abudadika,Mwlina Imiri,N/A,N/A,N/A,N/A,The education of Sonny Carson.,1935,1972,N/A,WW. Norton & Co.,New York,203 p.,N/A,N/A,N/A,N/A,"Covers his upbringing, education, and later beliefs in community control.",Activist,1935,N/A,Brooklyn,N/A
Abzug,Bella,Ziegler,Mel,N/A,N/A,Bella! Ms. Abzug goes to Washington.,N/A,1972,N/A,Saturday Review Press,New York,314 p.,N/A,N/A,N/A,N/A,Abzug chronicles her first year in Congress and her struggles against sexism.,Politician,1920,N/A,N/A,N/A
Acheson,Dean Gooderham,N/A,N/A,N/A,N/A,Grapes from thorns.,N/A,1972,N/A,WW. Norton & Co.,New York,253 p.,N/A,N/A,N/A,N/A,"Collection of articles, speeches, and letters that provide a portrait of Acheson as a statesman.",Statesman,1893,1971,N/A,N/A
Acheson,Dean Gooderham,N/A,N/A,N/A,N/A,Morning and noon.,1965,N/A,N/A,Houghton Mifflin Co.,Boston,288 p.,N/A,N/A,N/A,N/A,Acheson reflects on his New England boyhood and his experiences in Washington.,Statesman,1893,1971,N/A,N/A
