author1_last_name,author1_first_name,author2_last_name,author2_first_name,editor1_last_name,editor1_first_name,title,original_date_of_publication,second_or_later_date_of_publication,volume,publisher,publisher_location,number_of_pages,dictation,name_of_transcriber,translation,name_of_translator,summary,occupations,date_of_birth,date_of_death,place_of_birth,other_places_lived
Briscoe,Mary Louise,N/A,N/A,Tobias,Barbara,American Autobiography: A Bibliography,N/A,1982,N/A,The University of Wisconsin Press,"Madison, Wisconsin",N/A,N/A,N/A,N/A,N/A,"A comprehensive bibliography providing access to over 5,000 American autobiographies published from 1945 through 1980.",N/A,N/A,N/A,N/A,N/A
Aaron,Henry,N/A,N/A,Bisher,Furman,"Aaron, r-f",1968,1974,N/A,Thomas Y. Crowell Co.,New York,236 p,N/A,N/A,N/A,N/A,"In a low-key, conversational style, the author tells how he went from shortstop in one of the great Black barnstorming baseball teams to a major league hitter pushing Babe Ruth's career home run record. An afterword written by Bisher is added to the 1968 edition describing Aaron's life up to 1973.",N/A,1934,N/A,N/A,N/A
Aaronson,Sammy,N/A,N/A,Hirshberg,Al,As high as my heart: the Sammy Aaronson story,N/A,1957,N/A,"Coward-McCann, Inc.",New York,188 p,N/A,N/A,N/A,N/A,"The story of his fight against juvenile delinquency in New York's East Side and Brooklyn, where he set up gymnasiums and sports activities for boys.",N/A,1905,N/A,N/A,N/A
Abbey,Edward,N/A,N/A,Stiles,Jim,The journey home: some words in defense of the American West,N/A,1977,N/A,E.P. Dutton,New York,242 p,N/A,N/A,N/A,N/A,"Author and conservationist Abbey describes his discovery of the West, his passion for the land, and his efforts to preserve it from destruction by machines, land developers, and excessive population.",N/A,1927,N/A,N/A,N/A
Abbot,Charles Greeley,N/A,N/A,N/A,N/A,Adventures in the world of science,N/A,1958,N/A,Public Affairs Press,"Washington, D.C.",150 p,N/A,N/A,N/A,N/A,"An interesting record of his sixty years among international research scientists by a physicist who pioneered in solar energy and became affiliated with the Smithsonian in 1898, serving as its secretary from 1928 to 1944.",N/A,1872,1973,N/A,N/A
Abbot,Willis J.,N/A,N/A,N/A,N/A,Watching the world go by,1933,1974,N/A,"Beekman Publishers, Inc.",New York,358 p,N/A,N/A,N/A,N/A,"Abbot tells of his lifelong career in newspaper journalism, from his early days in New Orleans, through Kansas City, Chicago, New York, and Boston. Politics fascinated him and most of his recollections concern the political conventions, elections, and maneuverings he observed and took part in.",N/A,N/A,N/A,N/A,N/A
Abbott,George,N/A,N/A,N/A,N/A,Mister Abbott,N/A,1963,N/A,Random House,New York,279 p,N/A,N/A,N/A,N/A,"A successful showman writes about Broadway, his memories of friends and enemies among the celebrities of the entertainment world, including an honest appraisal of himself.",N/A,1887,N/A,N/A,N/A
Abeel,David,N/A,N/A,Williamson,G.R.,"Memoir of the Rev. David Abeel, D.D.: late missionary to China",1848,1972,N/A,"Scholarly Resources, Inc.","Wilmington, Delaware",315 p,N/A,N/A,N/A,N/A,"The life of a Dutch Reformed missionary is told through extracts from his simple but formal journals and letters, which reveal his concern with the love of God and the salvation of the 'heathen souls.' Although plagued with ill health, Abeel nevertheless managed to travel to Greece, England, Europe, the Far East, and China, spreading the gospel.",N/A,1804,1846,N/A,N/A
Abel,Alan,N/A,N/A,N/A,N/A,The confessions of a hoaxer,N/A,1970,N/A,The Macmillan Co.,New York,252 p,N/A,N/A,N/A,N/A,"A professional prankster describes many of his best hoaxes (e.g., a fictitious Mrs. Yetta Bronstein who ran for President of the United States, a fake recording by a phony count that won Billboard's Pick of the Week), his unusual comic theory, and his motivation for living it.",N/A,1924,N/A,N/A,N/A
Abington,E.H.,N/A,N/A,N/A,N/A,Back roads and bicarbonate: the autobiography of an Arkansas country doctor,N/A,1955,N/A,Vantage Press,New York,166 p,N/A,N/A,N/A,N/A,"Anecdotal recollections largely of the first half of his life. Beginning with post-Civil War rearing on a cotton plantation, he describes his education as a pharmacist and physician and his experience as part-time banker and farmer while he practiced medicine in rural Arkansas and Oklahoma.",N/A,1873,N/A,N/A,N/A
Abraham,Abie,N/A,N/A,N/A,N/A,Ghost of Bataan speaks,N/A,1971,N/A,Vantage Press,New York,244 p,N/A,N/A,N/A,N/A,"An American soldier describes the fall of Bataan, the Death March, the events at Camp O'Donnell and Cabanatuan, and the sufferings of Filipino and American troops after they had made their hopeless stand in defense of Bataan and Corregidor.",N/A,1913,N/A,N/A,N/A
Abrecht,Mary Ellen,N/A,N/A,Stem,Barbara Lang,The making of a woman cop,N/A,1976,N/A,William Morrow and Co.,New York,275 p,N/A,N/A,N/A,N/A,"Policewoman describes her development on the Washington, D.C. police force from a naive rookie to an experienced sergeant supervising male officers. She fights crime and sexism with intelligence, level-headedness, and good humor.",N/A,N/A,N/A,N/A,N/A
Abudadika,Mwlina Imiri,N/A,N/A,N/A,N/A,The education of Sonny Carson,N/A,1972,N/A,WW. Norton & Co.,New York,203 p,N/A,N/A,N/A,N/A,"Growing up in Brooklyn, being sent to reformatory, serving in the Army, and going to college all contributed to Carson's education. Later he became involved with the activities of CORE but differed with some of their policies. He believes that Black people must control their own police system and educational system in order to control their own destinies in their own communities.",N/A,1935,N/A,N/A,N/A
Abzug,Bella,N/A,N/A,Ziegler,Mel,Bella! Ms. Abzug goes to Washington,N/A,1972,N/A,Saturday Review Press,New York,314 p,N/A,N/A,N/A,N/A,"The cantankerous and feisty Abzug chronicles her first year in Congress as the representative from New York during the Nixon Administration. A champion of Blacks, women, the poor, and the young, she provides lively, if self-serving, anecdotal accounts of her struggles with the 'smug, incestuous, stagnant institution.'",N/A,1920,N/A,N/A,N/A
Acheson,Dean Gooderham,N/A,N/A,N/A,N/A,Grapes from thorns,N/A,1972,N/A,WW. Norton & Co.,New York,253 p,N/A,N/A,N/A,N/A,"This collection of articles, speeches, and letters assembled from 1950 until his death provide an engaging portrait of a compassionate, humane and witty statesman.",N/A,1893,1971,N/A,N/A
Acheson,Dean Gooderham,N/A,N/A,N/A,N/A,Morning and noon,N/A,1965,N/A,Houghton Mifflin Co.,Boston,288 p,N/A,N/A,N/A,N/A,"After a quiet New England boyhood followed by an interlude working on railroad construction in Ontario, Acheson went to Washington as law clerk to Supreme Court Justice Brandeis. There and in private practice he learned to profit from his association and to respect his fellow men. Later under FDR he became involved in great affairs of state.",N/A,1893,1971,N/A,N/A
Acheson,Dean Gooderham,N/A,N/A,N/A,N/A,Present at the creation: my years in the State Department,N/A,1969,N/A,W.W. Norton & Co.,New York,798 p,N/A,N/A,N/A,N/A,"As Assistant Secretary of State, Under Secretary of State, and Secretary of State, he focuses on foreign policy during World War II and the Cold War.",N/A,1893,1971,N/A,N/A
Acheson,Dean Gooderham,N/A,N/A,N/A,N/A,Sketches from life: of men I have known,N/A,1961,N/A,Harper and Brothers,New York,206 p,N/A,N/A,N/A,N/A,"An analysis of his long career in the State Department, sharing personal views of remarkable colleagues.",N/A,1893,1971,N/A,N/A
