author1_last_name,author1_first_name,author2_last_name,author2_first_name,editor1_last_name,editor1_first_name,title,original_date_of_publication,second_or_later_date_of_publication,volume,publisher,publisher_location,number_of_pages,dictation,name_of_transcriber,translation,name_of_translator,summary,occupations,date_of_birth,date_of_death,place_of_birth,other_places_lived
Kaplan,Louis,Cook,James Tyler,N/A,N/A,A BIBLIOGRAPHY OF AMERICAN AUTOBIOGRAPHIES,1961,N/A,N/A,THE UNIVERSITY OF WISCONSIN PRESS,Madison,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Abbott,Lyman,N/A,N/A,Prince,Morton,Reminiscences,1909,1915,N/A,R. G. Badger,Boston,47pp,N/A,N/A,N/A,N/A,Written by the patient after her recovery.,"Congregational clergyman, writer on religious subjects",1835,1922,N/A,New York City
Abdullah,Achmed,N/A,N/A,N/A,N/A,The cat had nine lives,1933,N/A,N/A,Farrar & Rinehart,N.Y.,312pp,N/A,N/A,N/A,N/A,N/A,Crimean born novelist,1881,1945,N/A,N/A
Abernathy,John R.,N/A,N/A,N/A,N/A,Recollections of a California pioneer,1917,N/A,N/A,Nebraska state historical society,Lincoln,235pp,N/A,N/A,N/A,N/A,A significant account of the life and adventures of an American pioneer.,"Railroad promoter, politician",1876,N/A,N/A,California 'forty-niner'
Abbott,Edward Charles,N/A,N/A,N/A,N/A,We pointed them north; recollections of a cow-puncher,1933,1939,N/A,Farrar & Rinehart,N.Y.,270pp,N/A,N/A,N/A,N/A,A personal account of life as a cow-puncher.,"Cowboy, U.S. marshal, oil operator",N/A,N/A,N/A,Texas and Oklahoma
Ackley,Mrs. Mary E.,N/A,N/A,N/A,N/A,Crossing the plains. . .Memories of girlhood days in California's golden age,1928,N/A,N/A,N/A,San Francisco,68pp,N/A,N/A,N/A,N/A,Story of married life in pioneer California.,N/A,1842,N/A,N/A,N/A
Acheson,Edward Goodrich,N/A,N/A,N/A,N/A,"A pathfinder: discovery, invention and industry; how the world came to have aquadag and oildag; also, carborundum, artificial graphite and other valuable products of the electric furnace",1910,N/A,N/A,The Press scrapbook,N.Y.,143pp,N/A,N/A,N/A,N/A,The life of a businessman in Maine.,N/A,1856,1931,N/A,N/A
Adams,Hannah,N/A,N/A,N/A,N/A,"A memoir of Miss Hannah Adams, written by herself",1832,1906,N/A,Gray & Bowen,Boston,110pp,N/A,N/A,N/A,N/A,Auto-biography of a pioneer woman physician in Oregon.,Historian,1755,1831,N/A,N/A
Adams,John Quincy,N/A,N/A,N/A,N/A,An old boy remembers.,1935,1941,N/A,Boston: Ruth Hill,Boston,125 p.,N/A,N/A,N/A,N/A,"The writer, a Presbyterian minister, devotes the greater portion of his book to his early life in western New York state and to his schooling including his years at the University of Rochester and the Auburn Theological Seminary.",Presbyterian minister,1849,1940,N/A,New York state
Adler,Cyrus,N/A,N/A,N/A,N/A,I have considered the days.,1872,N/A,N/A,Phila.: Jewish publication society of America,Philadelphia,64 p.,N/A,N/A,N/A,N/A,The author reflects on his experiences as a slave in Virginia and a free laborer in Pennsylvania.,N/A,1863,1933,N/A,N/A
