author1_last_name,author1_first_name,author2_last_name,author2_first_name,editor1_last_name,editor1_first_name,title,original_date_of_publication,second_or_later_date_of_publication,volume,publisher,publisher_location,number_of_pages,dictation,name_of_transcriber,translation,name_of_translator,summary,occupations,date_of_birth,date_of_death,place_of_birth,other_places_lived
Kaplan,Louis,N/A,N/A,N/A,N/A,A Bibliography of American Autobiographies,1961,N/A,N/A,THE UNIVERSITY OF WISCONSIN PRESS,Madison,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cook,James Tyler,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Colby,Clinton E.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Haskell,Daniel C.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
A.,B.C.,N/A,N/A,N/A,N/A,My life as a dissociated personality,1909,N/A,N/A,R. G. Badger,Boston,47 p,N/A,N/A,N/A,N/A,Written by the patient after her recovery.,N/A,N/A,N/A,N/A,N/A
Kaplan,Louis,N/A,N/A,N/A,N/A,A Bibliography of American Autobiographies,1961,N/A,N/A,The University of Wisconsin Press,Madison,N/A,N/A,N/A,N/A,N/A,"Compiled by Louis Kaplan in association with James Tyler Cook, Clinton E. Colby, Jr., and Daniel C. Haskell.",N/A,N/A,N/A,N/A,N/A
"A., B.C.",N/A,N/A,N/A,N/A,N/A,My life as a dissociated personality,1909,N/A,N/A,R. G. Badger,Boston,47 p,N/A,N/A,N/A,N/A,Written by the patient after her recovery.,N/A,N/A,N/A,N/A,N/A
Kaplan,Louis,N/A,N/A,N/A,N/A,A Bibliography of American Autobiographies,1961,N/A,N/A,The University of Wisconsin Press,Madison,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cook,James Tyler,N/A,N/A,N/A,N/A,A Bibliography of American Autobiographies,1961,N/A,N/A,The University of Wisconsin Press,Madison,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Colby,Clinton E.,N/A,N/A,N/A,N/A,A Bibliography of American Autobiographies,1961,N/A,N/A,The University of Wisconsin Press,Madison,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Haskell,Daniel C.,N/A,N/A,N/A,N/A,A Bibliography of American Autobiographies,1961,N/A,N/A,The University of Wisconsin Press,Madison,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
A.,B.C.,N/A,N/A,N/A,N/A,My life as a dissociated personality,1909,N/A,N/A,R. G. Badger,Boston,47 p,N/A,N/A,N/A,N/A,Written by the patient after her recovery.,N/A,N/A,N/A,N/A,N/A
Aakus,Eivind P.,N/A,N/A,N/A,N/A,Minne,1932,N/A,N/A,Johanssen & Tangens,Kristiansand,112 p,N/A,N/A,N/A,N/A,Minnesota violinist.,N/A,1854,N/A,N/A,N/A
