author1_last_name,author1_first_name,author2_last_name,author2_first_name,editor1_last_name,editor1_first_name,title,original_date_of_publication,second_or_later_date_of_publication,volume,publisher,publisher_location,number_of_pages,dictation,name_of_transcriber,translation,name_of_translator,summary,occupations,date_of_birth,date_of_death,place_of_birth,other_places_lived
ABBOTT,Augustus (Maj.Gen.),N/A,N/A,Low,Charles R.,"The Afghan War (Military Journal, 1838-42)",1879,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Service with Bengal Artillery in the Afghan War; marches; military details.,Major-General; Bengal Artillery,N/A,N/A,N/A,N/A
ABBOTT,George Washington,N/A,N/A,N/A,N/A,N/A,1878,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Boyhood in Chelsea; impact of Napoleonic wars; theatrical life and people; society; public life.,N/A,N/A,N/A,N/A,N/A
ABBOTT,Richard,N/A,N/A,N/A,N/A,N/A,1864,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Experiences in the Revolution, 1689-91; barbarous experiences in prison; Lord Molyneux' servant.",N/A,N/A,N/A,N/A,N/A
ABBS,Rev. John,N/A,N/A,N/A,N/A,Two Years' Missionary Experience,1870,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,His work at Travancore from 1838; difficulties; Hindu life and customs; work of London Missionary Society.,Reverend; Missionary,N/A,N/A,N/A,N/A
ABDULLAH,Morag (Murray),N/A,N/A,N/A,N/A,Marriage,1934,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Scots woman educated at Edinburgh University; marriage to a Pathan; life in hills & at Delhi; and social and racial problems.,N/A,N/A,N/A,N/A,N/A
A-BECKETT,Arthur William,N/A,N/A,N/A,N/A,Recollections,1903,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Anecdotes of theatre; career as civil servant and journalist; work on Punch and reminiscences of its writers; humor and its fashions; social and club life; Franco-Prussian war service.,Civil Servant; Journalist,N/A,N/A,N/A,N/A
ABERCRQMBY,Sir Ralph,N/A,N/A,N/A,N/A,A Faithful Journal,1802,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Details of naval activities at Aboukir.,Noble; Naval Officer,N/A,N/A,N/A,N/A
ABERDEEN AND TMAIR,N/A,N/A,N/A,N/A,N/A,We Twa,1925,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Highland upbringing; Liberal politics and reform; society in Scotland and London; Empire travels; domestic anecdotes.,N/A,N/A,N/A,N/A,N/A
ABERDEEN AND TEMAIRE,"Ishbel Maria, Marchioness of",N/A,N/A,N/A,N/A,Mus Granny,1936,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Highland childhood; musings of a Scottish but and romance; society and friendships in Victorian period.,Marchioness,N/A,N/A,N/A,N/A
ABINGER,Edward,N/A,N/A,N/A,N/A,Forty Years,1930,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Barrister's career and cases; famous Judges and trials; Inner Temple.,Barrister,N/A,N/A,N/A,N/A
