author1_last_name,author1_first_name,author2_last_name,author2_first_name,editor1_last_name,editor1_first_name,title,original_date_of_publication,second_or_later_date_of_publication,volume,publisher,publisher_location,number_of_pages,dictation,name_of_transcriber,translation,name_of_translator,summary,occupations,date_of_birth,date_of_death,place_of_birth,other_places_lived
ABBOTT,Augustus,N/A,N/A,Low,Charles R.,"Military journal, 1838-42; service with Bengal Artillery in the Afghan War; marches; military details. The Afghan War",1879,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Military officer,N/A,N/A,N/A,N/A
ABERDEEN AND TStAIRE,Ishbel Maria,N/A,N/A,N/A,N/A,Musings of a Scottish Granny,1936,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Highland childhood; debut and romance; society and friendships in Victorian period.,N/A,N/A,N/A,N/A,N/A
ABBOTT,George Washington,N/A,N/A,N/A,N/A,Events.. In the Life of an Octogenarian,1878,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Boyhood in Chelsea; impact Napoleonic wars; theatrical life and people; society; public life.,N/A,N/A,N/A,N/A,N/A
ABINGER,Edward,N/A,N/A,N/A,N/A,Forty Years,1930,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Barrister's career and cases; famous judges and trials; Inner Temple.,Barrister,N/A,N/A,N/A,N/A
ABBOTT,Richard,N/A,N/A,N/A,N/A,Narrative,1864,N/A,LX1,Chetham Soc.,N/A,N/A,N/A,N/A,N/A,N/A,"Experiences in the Revolution, 1689-91; barbarous experiences in prison; Lord Molyneux's servant.",N/A,N/A,N/A,N/A,N/A
Ames,Leslie,N/A,N/A,N/A,N/A,How's Zat,1938,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,The career and sporting reminiscences of Kent and England wicketkeeper & batsman; English & Australian players.,"Wicketkeeper, batsman",N/A,N/A,N/A,N/A
Allthee,George W.,N/A,N/A,N/A,N/A,Footllght Memories,1932,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liverpool boyhood; theatrical and vaudeville agent from 1905; anecdotes of comedians and actors.,Theatrical agent,N/A,N/A,Liverpool,N/A
Anderson,Surgeon,N/A,N/A,Firminger,Walter K.,The Diaries of Three Surgeons of Patna,1909,N/A,N/A,N/A,Calcutta,N/A,N/A,N/A,N/A,N/A,"Diary, 1763; his capture and prison experiences at Patna as prisoner of SuraJ-ad-daula.",Surgeon,N/A,N/A,N/A,N/A
Almedingen,Martha Edith von,N/A,N/A,N/A,N/A,Tomorrow; Almond Tree; Within the Harbour,1941,1947,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Nostalgic account of her life in St. Petersburg before WW1; university career; ignores Revolution; society; Rome in 20's; struggles as writer; English scene, people and her love for England.",Writer,N/A,N/A,N/A,St. Petersburg
Amery,Rt.Hon.Leopold,N/A,N/A,N/A,N/A,Days of Fresh Air; In the Rain,1939,1946,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Travels, mountaineering, politics, public life, WW1; empire travels and work; his sporting activities.",Politician,N/A,N/A,N/A,N/A
Andrew,Jane,N/A,N/A,N/A,N/A,Autobiography; Recorded Mercies,1889,1890,N/A,Copy,Exeter,N/A,N/A,N/A,N/A,N/A,Her life in a Methodist home; Cornish farms; work and travel in ministry.,Minister,N/A,N/A,N/A,N/A
Andrews,Charles Freer,N/A,N/A,N/A,N/A,Inner Life,1939,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cambridge; work as missionary in India; friendship with Tagore and Gandhi; his spiritual life.,Missionary,N/A,N/A,N/A,N/A
Anderson,Alex,N/A,N/A,N/A,N/A,Windjammer Tarns,1923,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Boyhood in sailing ships; ways of the sea in the 60's; clipper ships; voyages; port life; romance.,N/A,N/A,N/A,N/A,N/A
